depth	mutation_id	replicate	prevalence
219	60	4	14	0.1
220	60	5	14	0.27
221	60	1	15	0.833
222	60	2	15	0.8
223	60	3	15	0.46
224	60	4	15	0.2
225	60	5	15	0.17
226	60	1	16	0.8
227	60	2	16	0.933
228	60	3	16	0.57
229	60	4	16	0.033
230	60	5	16	0.26
231	60	1	17	0.9
232	60	2	17	0.867
233	60	3	17	0.34
234	60	4	17	0.1
235	60	5	17	0.38
236	60	1	18	1
237	60	2	18	0.73
238	60	3	18	NA
239	60	4	18	0.033
240	60	5	18	0.37
241	60	1	19	1
242	60	2	19	0.73
243	60	3	19	0.59
244	60	4	19	0.13
245	60	5	19	NA
246	60	1	20	0.967
247	60	2	20	0.63
248	60	3	20	NA
249	60	4	20	0.2
250	60	5	20	NA
251	60	1	21	0.867
252	60	2	21	1
253	60	3	21	NA
254	60	4	21	0.3
255	60	5	21	NA
256	60	1	22	1
257	60	2	22	0.8
258	60	3	22	0.43
259	60	4	22	0.13
260	60	5	22	NA
261	60	1	23	0.8
262	60	2	23	0.7
263	60	3	23	NA
264	60	4	23	0.067
265	60	5	23	0.25
266	60	1	24	0.9
267	60	2	24	1
268	60	3	24	1
269	60	4	24	0.17
270	60	5	24	0.32
271	60	1	25	0.933
272	60	2	25	0.867
273	60	3	25	0.67
274	60	4	25	0.13
275	60	5	25	0.21
276	60	1	26	0.9
277	60	2	26	0.933
278	60	3	26	NA
279	60	4	26	0.17
280	60	5	26	NA
281	60	1	27	0.967
282	60	2	27	1
283	60	3	27	0.52
284	60	4	27	0.13
285	60	5	27	NA
286	60	1	28	0.73
287	60	2	28	0.8
288	60	3	28	0.67
289	60	4	28	0.23
290	60	5	28	0.15
291	60	1	29	0.9
292	60	2	29	0.833
293	60	3	29	0.4
294	60	4	29	0.033
295	60	5	29	0.38
296	60	1	30	0.94
297	60	2	30	0.833
298	60	3	30	0.59
299	60	4	30	0.1
300	60	5	30	0.32
301	120	1	1	0.95
302	120	2	1	0.95
303	120	3	1	NA
304	120	4	1	0.25
305	120	5	1	NA
306	120	1	2	1
307	120	2	2	1
308	120	3	2	NA
309	120	4	2	0.13
310	120	5	2	0.23
311	120	1	3	0.9833
312	120	2	3	0.967
313	120	3	3	0.43
314	120	4	3	0.27
315	120	5	3	NA
316	120	1	4	0.883
317	120	2	4	0.85
318	120	3	4	NA
319	120	4	4	0.12
320	120	5	4	NA
321	120	1	5	1
322	120	2	5	0.72
323	120	3	5	0.32
324	120	4	5	0.22
325	120	5	5	0.19
326	120	1	6	1
327	120	2	6	0.85
328	120	3	6	0.953
329	120	4	6	0.27
330	120	5	6	NA
331	120	1	7	0.95
332	120	2	7	0.933
333	120	3	7	NA
334	120	4	7	0.2
335	120	5	7	0.18
336	120	1	8	0.95
337	120	2	8	0.833
338	120	3	8	NA
339	120	4	8	0.17
340	120	5	8	0.23
341	120	1	9	1
342	120	2	9	1
343	120	3	9	0.85
344	120	4	9	0.12
345	120	5	9	0.21
346	120	1	10	0.95
347	120	2	10	0.933
348	120	3	10	0.36
349	120	4	10	0.17
350	120	5	10	0.22
351	120	1	11	1
352	120	2	11	0.75
353	120	3	11	NA
354	120	4	11	0.12
355	120	5	11	NA
356	120	1	12	0.967
357	120	2	12	0.8
358	120	3	12	NA
359	120	4	12	0.15
360	120	5	12	0.23
361	120	1	13	0.967
362	120	2	13	0.85
363	120	3	13	NA
364	120	4	13	0.1
365	120	5	13	0.29
366	120	1	14	1
367	120	2	14	0.817
368	120	3	14	0.79
369	120	4	14	0.18
370	120	5	14	NA
371	120	1	15	0.76
372	120	2	15	0.85
373	120	3	15	0.38
374	120	4	15	0.22
375	120	5	15	NA
376	120	1	16	1
377	120	2	16	0.9
378	120	3	16	0.68
379	120	4	16	0.17
380	120	5	16	NA
381	120	1	17	0.95
382	120	2	17	0.917
383	120	3	17	0.34
384	120	4	17	0.13
385	120	5	17	NA
386	120	1	18	1
387	120	2	18	0.917
388	120	3	18	0.981
389	120	4	18	0.12
390	120	5	18	NA
391	120	1	19	1
392	120	2	19	0.917
393	120	3	19	0.44
394	120	4	19	0.18
395	120	5	19	NA
396	120	1	20	0.883
397	120	2	20	0.883
398	120	3	20	NA
399	120	4	20	0.18
400	120	5	20	NA
401	120	1	21	0.77
402	120	2	21	0.817
403	120	3	21	NA
404	120	4	21	0.083
405	120	5	21	0.19
406	120	1	22	0.9
407	120	2	22	0.833
408	120	3	22	0.76
409	120	4	22	0.1
410	120	5	22	0.22
411	120	1	23	1
412	120	2	23	0.75
413	120	3	23	NA
414	120	4	23	0.083
415	120	5	23	NA
416	120	1	24	1
417	120	2	24	0.78
418	120	3	24	0.4
419	120	4	24	0.17
420	120	5	24	0.17
421	120	1	25	1
422	120	2	25	0.917
423	120	3	25	0.29
424	120	4	25	0.184
425	120	5	25	0.21
426	120	1	26	1
427	120	2	26	0.967
428	120	3	26	0.38
429	120	4	26	0.12
430	120	5	26	NA
431	120	1	27	1
432	120	2	27	0.8
433	120	3	27	NA
434	120	4	27	0.22
435	120	5	27	0.2
436	120	1	28	1
437	120	2	28	0.867
438	120	3	28	NA
439	120	4	28	0.18
440	120	5	28	NA
441	120	1	29	1
442	120	2	29	1
443	120	3	29	NA
444	120	4	29	0.13
445	120	5	29	NA
446	120	1	30	0.85
447	120	2	30	1
448	120	3	30	NA
449	120	4	30	0.17
450	120	5	30	NA
451	1000	1	1	0.982
452	1000	2	1	0.888
453	1000	3	1	0.37
454	1000	4	1	0.15
455	1000	5	1	NA
456	1000	1	2	1
457	1000	2	2	0.856
458	1000	3	2	NA
459	1000	4	2	0.17
460	1000	5	2	NA
461	1000	1	3	0.996
462	1000	2	3	0.9
463	1000	3	3	NA
464	1000	4	3	0.14
465	1000	5	3	NA
466	1000	1	4	1
467	1000	2	4	0.878
468	1000	3	4	NA
469	1000	4	4	0.14
470	1000	5	4	NA
471	1000	1	5	0.938
472	1000	2	5	0.93
473	1000	3	5	NA
474	1000	4	5	0.17
475	1000	5	5	0.24
476	1000	1	6	0.954
477	1000	2	6	0.904
478	1000	3	6	NA
479	1000	4	6	0.17
480	1000	5	6	NA
481	1000	1	7	0.966
482	1000	2	7	0.86
483	1000	3	7	NA
484	1000	4	7	0.15
485	1000	5	7	0.21
486	1000	1	8	0.968
487	1000	2	8	0.9
488	1000	3	8	NA
489	1000	4	8	0.15
490	1000	5	8	NA
491	1000	1	9	0.966
492	1000	2	9	0.904
493	1000	3	9	0.39
494	1000	4	9	0.16
495	1000	5	9	NA
496	1000	1	10	1
497	1000	2	10	0.892
498	1000	3	10	0.4
499	1000	4	10	0.15
500	1000	5	10	NA
501	1000	1	11	1
502	1000	2	11	0.89
503	1000	3	11	NA
504	1000	4	11	0.13
505	1000	5	11	NA
506	1000	1	12	1
507	1000	2	12	0.898
508	1000	3	12	NA
509	1000	4	12	0.14
510	1000	5	12	NA
511	1000	1	13	0.942
512	1000	2	13	0.922
513	1000	3	13	NA
514	1000	4	13	0.13
515	1000	5	13	NA
516	1000	1	14	1
517	1000	2	14	0.91
518	1000	3	14	NA
519	1000	4	14	0.15
520	1000	5	14	0.2
521	1000	1	15	1
522	1000	2	15	0.914
523	1000	3	15	NA
524	1000	4	15	0.17
525	1000	5	15	0.2
526	1000	1	16	0.996
527	1000	2	16	0.9
528	1000	3	16	NA
529	1000	4	16	0.14
530	1000	5	16	0.21
531	1000	1	17	0.992
532	1000	2	17	0.896
533	1000	3	17	0.34
534	1000	4	17	0.15
535	1000	5	17	0.19
536	1000	1	18	1
537	1000	2	18	0.992
538	1000	3	18	NA
539	1000	4	18	0.15
540	1000	5	18	0.2
541	1000	1	19	1
542	1000	2	19	0.868
543	1000	3	19	0.35
544	1000	4	19	0.16
545	1000	5	19	NA
546	1000	1	20	0.98
547	1000	2	20	0.94
548	1000	3	20	NA
549	1000	4	20	0.16
550	1000	5	20	0.2
551	1000	1	21	1
552	1000	2	21	0.884
553	1000	3	21	NA
554	1000	4	21	0.17
555	1000	5	21	NA
556	1000	1	22	1
557	1000	2	22	0.858
558	1000	3	22	NA
559	1000	4	22	0.15
560	1000	5	22	NA
561	1000	1	23	1
562	1000	2	23	0.88
563	1000	3	23	0.35
564	1000	4	23	0.15
565	1000	5	23	0.2
566	1000	1	24	1
567	1000	2	24	0.868
568	1000	3	24	0.4
569	1000	4	24	0.15
570	1000	5	24	NA
571	1000	1	25	1
572	1000	2	25	0.884
573	1000	3	25	NA
574	1000	4	25	0.18
575	1000	5	25	NA
576	1000	1	26	1
577	1000	2	26	0.9
578	1000	3	26	0.35
579	1000	4	26	0.14
580	1000	5	26	0.22
581	1000	1	27	0.91
582	1000	2	27	0.878
583	1000	3	27	NA
584	1000	4	27	0.16
585	1000	5	27	NA
586	1000	1	28	0.968
587	1000	2	28	0.924
588	1000	3	28	NA
589	1000	4	28	0.16
590	1000	5	28	NA
591	1000	1	29	0.988
592	1000	2	29	0.92
593	1000	3	29	NA
594	1000	4	29	0.17
595	1000	5	29	NA
596	1000	1	30	1
597	1000	2	30	0.92
598	1000	3	30	0.34
599	1000	4	30	0.14
600	1000	5	30	NA
